analyse,n_sujets,n_journees,duel_baseline,duel_modele,gain,macro_f1_modele,exactitude_sujet_modele
reference_77_sujets,77,924,0.4764218269653052,0.855429292929293,0.3790074659639878,0.6317651090234276,0.7532467532467533
hommes_uniquement,44,528,0.3913349077822762,0.8570062977957715,0.46567139001349533,0.6406761386837659,0.7045454545454546
femmes_uniquement,33,396,0.43125,0.7837962962962963,0.3525462962962963,0.4881622850783331,0.6666666666666666
depression_unipolaire,69,828,0.5113215488215488,0.8353535353535353,0.3240319865319865,0.5933032320129094,0.7536231884057971
